"Directory","Size","Count"
"C:\AMD","1493.21","2633"
"C:\Backup","964.17","293"
"C:\Bunlarda-Trojan-Malware-Var","230.46","126"
"C:\Gdrive","0.32","3"
"C:\git","890.79","68031"
"C:\inetpub","0.44","6"
"C:\Intel","0.83","2"
"C:\PerfLogs","0","0"
"C:\Perl64","111.4","5549"
"C:\Program Files","1893.58","4055"
"C:\Program Files (x86)","9017.97","65683"
"C:\Python","45.88","3220"
"C:\qnap","248499.91","859"
"C:\SymCache","0","0"
"C:\Temp","77564.68","1297"
"C:\Tools","1516.37","14555"
"C:\Users","97517.17","16741"
"C:\VM","80961.86","589"
