"Directory","Size","Count"
"C:\CharlesRiver","11.99","35"
"C:\Data","358.88","212"
"C:\docs","47.78","37"
"C:\downloads","9259.39","8507"
"C:\dump","0","0"
"C:\Excel-AddInAndNETPreReq","30.9","90"
"C:\Github","667.6","6856"
"C:\ilspy","4.74","12"
"C:\inetpub","1.34","52"
"C:\Intel","2.12","6"
"C:\NVIDIA","226.2","296"
"C:\PerfLogs","0","0"
"C:\PortQryUI","0.39","5"
"C:\powershell_ise","0","0"
"C:\Program Files","1694.92","7368"
"C:\Program Files (x86)","9075.97","50518"
"C:\rktools","18.21","188"
"C:\ScriptLogic","0.87","5"
"C:\scripts","2155.97","1458"
"C:\start","0","0"
"C:\swsetup","1993.8","7757"
"C:\symbols","1693.1","4426"
"C:\sysint","28.21","97"
"C:\Temp","152.02","23"
"C:\Users","1050.89","1172"
"C:\WDK","1185.4","8613"
"C:\Windows","21824.26","101030"
