"Caption","Name","VariableValue","SystemVariable","Username"
"<SYSTEM>\FP_NO_HOST_CHECK","FP_NO_HOST_CHECK","NO","True","<SYSTEM>"
"<SYSTEM>\USERNAME","USERNAME","SYSTEM","True","<SYSTEM>"
"<SYSTEM>\ComSpec","ComSpec","%SystemRoot%\system32\cmd.exe","True","<SYSTEM>"
"<SYSTEM>\TMP","TMP","%SystemRoot%\TEMP","True","<SYSTEM>"
"<SYSTEM>\OS","OS","Windows_NT","True","<SYSTEM>"
"<SYSTEM>\windir","windir","%SystemRoot%","True","<SYSTEM>"
"<SYSTEM>\PROCESSOR_ARCHITECTURE","PROCESSOR_ARCHITECTURE","AMD64","True","<SYSTEM>"
"<SYSTEM>\TEMP","TEMP","%SystemRoot%\TEMP","True","<SYSTEM>"
"<SYSTEM>\PATHEXT","PATHEXT",".COM;.EXE;.BAT;.CMD;.VBS;.VBE;.JS;.JSE;.WSF;.WSH;.MSC","True","<SYSTEM>"
"<SYSTEM>\PSModulePath","PSModulePath","%SystemRoot%\system32\WindowsPowerShell\v1.0\Modules\","True","<SYSTEM>"
"<SYSTEM>\NUMBER_OF_PROCESSORS","NUMBER_OF_PROCESSORS","8","True","<SYSTEM>"
"<SYSTEM>\PROCESSOR_LEVEL","PROCESSOR_LEVEL","6","True","<SYSTEM>"
"<SYSTEM>\PROCESSOR_IDENTIFIER","PROCESSOR_IDENTIFIER","Intel64 Family 6 Model 26 Stepping 5, GenuineIntel","True","<SYSTEM>"
"<SYSTEM>\PROCESSOR_REVISION","PROCESSOR_REVISION","1a05","True","<SYSTEM>"
"<SYSTEM>\Path","Path","C:\Program Files (x86)\AMD APP\bin\x86_64;C:\Program Files (x86)\AMD APP\bin\x86;C:\Program Files\Common Files\Microsoft Shared\Windows Live;C:\Program Files (x86)\Common Files\Microsoft Shared\Windows Live;C:\Perl64\site\bin;C:\Perl64\bin;C:\Windows\system32;C:\Windows;C:\Windows\System32\Wbem;C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static;C:\Program Files (x86)\Common Files\Roxio Shared\10.0\DLLShared\;C:\Program Files (x86)\Windows Live\Shared;C:\Program Files (x86)\WinMerge;c:\Program Files (x86)\Microsoft ASP.NET\ASP.NET Web Pages\v1.0\;C:\Windows\System32\WindowsPowerShell\v1.0\;C:\Program Files\Windows Imaging\;c:\program files\windows AIK\tools\amd64;c:\program files\windows aik\tools\amd\servicing;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\Program Files (x86)\QuickTime\QTSystem\;C:\Program Files\Microsoft\Web Platform Installer\;C:\Program Files (x86)\Windows Kits\8.1\Windows Performance Toolkit\;C:\Program Files (x86)\Google\google_appengine\;C:\Program Files (x86)\Git\cmd","True","<SYSTEM>"
"<SYSTEM>\VBOX_INSTALL_PATH","VBOX_INSTALL_PATH","C:\Program Files\Oracle\VirtualBox\","True","<SYSTEM>"
"<SYSTEM>\AMDAPPSDKROOT","AMDAPPSDKROOT","C:\Program Files (x86)\AMD APP\","True","<SYSTEM>"
"<SYSTEM>\CLASSPATH","CLASSPATH",".;C:\Program Files (x86)\Java\jre7\lib\ext\QTJava.zip","True","<SYSTEM>"
"<SYSTEM>\QTJAVA","QTJAVA","C:\Program Files (x86)\Java\jre7\lib\ext\QTJava.zip","True","<SYSTEM>"
"NT AUTHORITY\SYSTEM\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\SYSTEM"
"NT AUTHORITY\SYSTEM\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\SYSTEM"
"NT AUTHORITY\LOCAL SERVICE\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\LOCAL SERVICE"
"NT AUTHORITY\LOCAL SERVICE\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\LOCAL SERVICE"
"NT AUTHORITY\NETWORK SERVICE\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\NETWORK SERVICE"
"NT AUTHORITY\NETWORK SERVICE\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","NT AUTHORITY\NETWORK SERVICE"
"AHSys\Adil\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","AHSys\Adil"
"AHSys\Adil\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","AHSys\Adil"
"AHSys\Adil\PATH","PATH","C:\Program Files (x86)\Google\google_appengine\","False","AHSys\Adil"
"AHSys\Engin\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","AHSys\Engin"
"AHSys\Engin\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","AHSys\Engin"
"IIS APPPOOL\Classic .NET AppPool\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","IIS APPPOOL\Classic .NET AppPool"
"IIS APPPOOL\Classic .NET AppPool\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","IIS APPPOOL\Classic .NET AppPool"
"IIS APPPOOL\DefaultAppPool\TMP","TMP","%USERPROFILE%\AppData\Local\Temp","False","IIS APPPOOL\DefaultAppPool"
"IIS APPPOOL\DefaultAppPool\TEMP","TEMP","%USERPROFILE%\AppData\Local\Temp","False","IIS APPPOOL\DefaultAppPool"
