"ProcessName","ExecutablePath","ProcessId","ParentProcessId","CommandLine","Priority","Date"
"System Idle Process",,"0","0",,"0",
"System",,"4","0",,"8","1/21/2014 8:05:19 PM"
"smss.exe",,"420","4",,"11","1/21/2014 8:05:19 PM"
"csrss.exe",,"568","560",,"13","1/21/2014 8:05:25 PM"
"wininit.exe","C:\WINDOWS\system32\wininit.exe","692","560","wininit.exe","13","1/21/2014 8:05:28 PM"
"csrss.exe",,"708","700",,"13","1/21/2014 8:05:28 PM"
"services.exe",,"752","692",,"9","1/21/2014 8:05:28 PM"
"lsass.exe","C:\WINDOWS\system32\lsass.exe","760","692","C:\WINDOWS\system32\lsass.exe","9","1/21/2014 8:05:28 PM"
"winlogon.exe","C:\WINDOWS\system32\winlogon.exe","832","700","winlogon.exe","13","1/21/2014 8:05:29 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","884","752","C:\WINDOWS\system32\svchost.exe -k DcomLaunch","8","1/21/2014 8:05:30 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","932","752","C:\WINDOWS\system32\svchost.exe -k RPCSS","8","1/21/2014 8:05:30 PM"
"atiesrxx.exe","C:\WINDOWS\system32\atiesrxx.exe","1008","752","C:\WINDOWS\system32\atiesrxx.exe","8","1/21/2014 8:05:30 PM"
"dwm.exe","C:\WINDOWS\system32\dwm.exe","104","832","""dwm.exe""","13","1/21/2014 8:05:30 PM"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","452","752","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted","8","1/21/2014 8:05:30 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","592","752","C:\WINDOWS\system32\svchost.exe -k netsvcs","8","1/21/2014 8:05:31 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","740","752","C:\WINDOWS\system32\svchost.exe -k LocalService","8","1/21/2014 8:05:31 PM"
"svchost.exe","C:\WINDOWS\System32\svchost.exe","1060","752","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted","8","1/21/2014 8:05:32 PM"
"atieclxx.exe","C:\WINDOWS\system32\atieclxx.exe","1128","1008","atieclxx","8","1/21/2014 8:05:32 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","1260","752","C:\WINDOWS\system32\svchost.exe -k NetworkService","8","1/21/2014 8:05:33 PM"
"spoolsv.exe","C:\WINDOWS\System32\spoolsv.exe","1420","752","C:\WINDOWS\System32\spoolsv.exe","8","1/21/2014 8:05:34 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","1444","752","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation","8","1/21/2014 8:05:34 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","1464","752","C:\WINDOWS\system32\svchost.exe -k LocalServiceNoNetwork","8","1/21/2014 8:05:34 PM"
"armsvc.exe","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","1736","752","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""","8","1/21/2014 8:05:35 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","1752","752","C:\WINDOWS\system32\svchost.exe -k apphost","8","1/21/2014 8:05:35 PM"
"mDNSResponder.exe","C:\Program Files\Bonjour\mDNSResponder.exe","1864","752","""C:\Program Files\Bonjour\mDNSResponder.exe""","8","1/21/2014 8:05:36 PM"
"remoting_host.exe","C:\Program Files (x86)\Google\Chrome Remote Desktop\32.0.1700.98\remoting_host.exe","1884","752","""C:\Program Files (x86)\Google\Chrome Remote Desktop\32.0.1700.98\remoting_host.exe"" --type=daemon --host-config=""C:\ProgramData\Google\Chrome Remote Desktop\host.json""","8","1/21/2014 8:05:36 PM"
"DDService.exe","C:\Program Files (x86)\Drobo\Drobo Dashboard\DDService.exe","1932","752","""C:\Program Files (x86)\Drobo\Drobo Dashboard\DDService.exe""","8","1/21/2014 8:05:37 PM"
"CaptureLibService.exe","C:\Program Files (x86)\Freemake\CaptureLib\CaptureLibService.exe","1980","752","""C:\Program Files (x86)\Freemake\CaptureLib\CaptureLibService.exe""","8","1/21/2014 8:05:37 PM"
"dasHost.exe","C:\WINDOWS\system32\dashost.exe","1992","1060","dashost.exe {f558deb0-e6f0-4d72-bb97a3a061a6f476}","8","1/21/2014 8:05:37 PM"
"remoting_host.exe","C:\Program Files (x86)\Google\Chrome Remote Desktop\32.0.1700.98\remoting_host.exe","2000","1884","""C:\Program Files (x86)\Google\Chrome Remote Desktop\32.0.1700.98\remoting_host.exe"" --type=host --daemon-pipe=456","8","1/21/2014 8:05:37 PM"
"LSSrvc.exe","C:\Program Files (x86)\Common Files\LightScribe\LSSrvc.exe","1924","752","""C:\Program Files (x86)\Common Files\LightScribe\LSSrvc.exe""","8","1/21/2014 8:05:39 PM"
"MsDepSvc.exe","C:\Program Files\IIS\Microsoft Web Deploy\MsDepSvc.exe","2056","752","""C:\Program Files\IIS\Microsoft Web Deploy\MsDepSvc.exe"" -runService:MsDepSvc","8","1/21/2014 8:05:40 PM"
"mqsvc.exe","C:\WINDOWS\system32\mqsvc.exe","2096","752","C:\WINDOWS\system32\mqsvc.exe","8","1/21/2014 8:05:42 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2328","752","C:\WINDOWS\system32\svchost.exe -k imgsvc","8","1/21/2014 8:05:42 PM"
"synergyd.exe","C:\Program Files\Synergy\synergyd.exe","2424","752","""C:\Program Files\Synergy\synergyd.exe""","8","1/21/2014 8:05:43 PM"
"vmnat.exe","C:\WINDOWS\SysWOW64\vmnat.exe","2544","752","C:\WINDOWS\SysWOW64\vmnat.exe","8","1/21/2014 8:05:43 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","2604","752","C:\WINDOWS\system32\svchost.exe -k iissvcs","8","1/21/2014 8:05:43 PM"
"MsMpEng.exe",,"2624","752",,"8","1/21/2014 8:05:43 PM"
"vmnetdhcp.exe","C:\WINDOWS\SysWOW64\vmnetdhcp.exe","2708","752","C:\WINDOWS\SysWOW64\vmnetdhcp.exe","8","1/21/2014 8:05:43 PM"
"vmware-authd.exe","C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe","2744","752","""C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe""","8","1/21/2014 8:05:44 PM"
"vmware-usbarbitrator64.exe","C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe","2812","752","""C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe""","8","1/21/2014 8:05:44 PM"
"SMSvcHost.exe","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","2844","752","""C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe"" -NetMsmqActivator","8","1/21/2014 8:05:45 PM"
"SMSvcHost.exe","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","2996","752","C:\WINDOWS\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe","8","1/21/2014 8:05:47 PM"
"vmware-hostd.exe","C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe","3228","752","""C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe"" -u ""C:\ProgramData\VMware\hostd\config.xml""","8","1/21/2014 8:05:48 PM"
"NisSrv.exe",,"3312","752",,"8","1/21/2014 8:05:49 PM"
"WmiPrvSE.exe","C:\WINDOWS\system32\wbem\wmiprvse.exe","3352","884","C:\WINDOWS\system32\wbem\wmiprvse.exe","8","1/21/2014 8:05:49 PM"
"svchost.exe","C:\WINDOWS\system32\svchost.exe","3480","752","C:\WINDOWS\system32\svchost.exe -k NetworkServiceNetworkRestricted","8","1/21/2014 8:05:49 PM"
"WUDFHost.exe","C:\Windows\System32\WUDFHost.exe","3548","1060","""C:\Windows\System32\WUDFHost.exe"" -HostGUID:{193a1820-d9ac-4997-8c55-be817523f6aa} -IoEventPortName:HostProcess-d5ac9fd7-a9a7-4427-a1a1-7204ab5f829e -SystemEventPortName:HostProcess-9e3f9859-54dd-488a-b74d-b6c36577c640 -IoCancelEventPortName:HostProcess-e2ce5a4b-fbab-4b33-bbaa-a610e3803fcc -NonStateChangingEventPortName:HostProcess-5e00a3aa-3d9c-4aea-9d24-d10481b7df91 -ServiceSID:S-1-5-80-2652678385-582572993-1835434367-1344795993-749280709 -LifetimeId:a8f2f852-d702-465f-afb5-1380b035160e -DeviceGroupId:WpdFsGroup","8","1/21/2014 8:05:50 PM"
"taskhostex.exe","C:\WINDOWS\system32\taskhostex.exe","4264","592","taskhostex.exe ","8","1/21/2014 8:07:49 PM"
"SearchIndexer.exe","C:\WINDOWS\system32\SearchIndexer.exe","1776","752","C:\WINDOWS\system32\SearchIndexer.exe /Embedding","8","1/21/2014 8:07:54 PM"
"RAVCpl64.exe","C:\Program Files\Realtek\Audio\HDA\RAVCpl64.exe","960","3996","""C:\Program Files\Realtek\Audio\HDA\RAVCpl64.exe"" -s","8","1/21/2014 8:08:04 PM"
"CalibrizeResume.exe","C:\Program Files (x86)\Calibrize\CalibrizeResume.exe","3768","3996","""C:\Program Files (x86)\Calibrize\CalibrizeResume.exe"" ","8","1/21/2014 8:08:09 PM"
"ONENOTEM.EXE","C:\Program Files (x86)\Microsoft Office\Office14\ONENOTEM.EXE","3512","3996","""C:\Program Files (x86)\Microsoft Office\Office14\ONENOTEM.EXE"" /tsr","8","1/21/2014 8:08:12 PM"
"nusb3mon.exe","C:\Program Files (x86)\Renesas Electronics\USB 3.0 Host Controller Driver\Application\nusb3mon.exe","3116","4208","""C:\Program Files (x86)\Renesas Electronics\USB 3.0 Host Controller Driver\Application\nusb3mon.exe"" ","8","1/21/2014 8:08:20 PM"
"QFanHelp.exe","C:\Program Files (x86)\ASUS\Fan Xpert\QFanHelp.exe","848","4208","""C:\Program Files (x86)\ASUS\Fan Xpert\QFanHelp.exe"" ","8","1/21/2014 8:08:21 PM"
"vmware-tray.exe","C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe","3344","4208","""C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe"" ","8","1/21/2014 8:08:21 PM"
"MOM.exe","C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static\MOM.exe","5416","1956","""C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static\MOM"" PriorityLow","8","1/21/2014 8:08:23 PM"
"jusched.exe","C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe","5472","4208","""C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe"" ","8","1/21/2014 8:08:23 PM"
"iPodService.exe","C:\Program Files\iPod\bin\iPodService.exe","5608","752","""C:\Program Files\iPod\bin\iPodService.exe""","8","1/21/2014 8:08:26 PM"
"CCC.exe","C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static\CCC.exe","5716","5416","""C:\Program Files (x86)\ATI Technologies\ATI.ACE\Core-Static\CCC.exe"" 0","8","1/21/2014 8:08:27 PM"
"CurseClient.exe","C:\Users\Adil\AppData\Local\Apps\2.0\O1WP24OR.931\NJTQBGMG.K5K\curs..tion_9e9e83ddf3ed3ead_0005.0001_181b5e0542e9eb6c\CurseClient.exe","4320","6736","""C:\Users\Adil\AppData\Local\Apps\2.0\O1WP24OR.931\NJTQBGMG.K5K\curs..tion_9e9e83ddf3ed3ead_0005.0001_181b5e0542e9eb6c\CurseClient.exe""","13","1/21/2014 8:09:03 PM"
"PresentationFontCache.exe","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","5592","752","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","8","1/21/2014 8:09:38 PM"
"explorer.exe","C:\WINDOWS\explorer.exe","7596","832","explorer.exe","8","1/22/2014 10:23:32 AM"
