"DisplayName","PathName","State","StartMode","DesktopInteract","ServiceType","ProcessID"
"Adobe Acrobat Update Service","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe""","Running","Auto","False","Own Process","1616"
"Adobe Flash Player Update Service","C:\Windows\SysWOW64\Macromed\Flash\FlashPlayerUpdateService.exe","Stopped","Manual","False","Own Process","0"
"Application Experience","C:\Windows\system32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Andrea RT Filters Service","C:\Program Files\Realtek\Audio\HDA\AERTSr64.EXE","Running","Auto","False","Own Process","1672"
"Application Layer Gateway Service","C:\Windows\System32\alg.exe","Stopped","Manual","False","Own Process","0"
"Application Host Helper Service","C:\Windows\system32\svchost.exe -k apphost","Running","Auto","False","Share Process","1696"
"Application Identity","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped","Manual","False","Share Process","0"
"Application Information","C:\Windows\system32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Application Management","C:\Windows\system32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"ASP.NET State Service","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\aspnet_state.exe","Stopped","Manual","False","Own Process","0"
"Windows Audio Endpoint Builder","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Running","Auto","False","Share Process","164"
"Windows Audio","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","Running","Auto","False","Share Process","988"
"ActiveX Installer (AxInstSV)","C:\Windows\system32\svchost.exe -k AxInstSVGroup","Stopped","Manual","False","Share Process","0"
"BitLocker Drive Encryption Service","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Base Filtering Engine","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork","Running","Auto","False","Share Process","1472"
"Background Intelligent Transfer Service","C:\Windows\System32\svchost.exe -k netsvcs","Running","Auto","False","Share Process","360"
"Computer Browser","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"Bluetooth Support Service","C:\Windows\system32\svchost.exe -k bthsvcs","Stopped","Manual","False","Share Process","0"
"Symantec Event Manager","""C:\Program Files (x86)\Common Files\Symantec Shared\ccSvcHst.exe"" /h ccCommon","Running","Auto","False","Share Process","1264"
"Symantec Settings Manager","""C:\Program Files (x86)\Common Files\Symantec Shared\ccSvcHst.exe"" /h ccCommon","Running","Auto","False","Share Process","1264"
"Certificate Propagation","C:\Windows\system32\svchost.exe -k netsvcs","Running","Manual","False","Share Process","360"
"Microsoft .NET Framework NGEN v2.0.50727_X86","C:\Windows\Microsoft.NET\Framework\v2.0.50727\mscorsvw.exe","Stopped","Manual","False","Own Process","0"
"Microsoft .NET Framework NGEN v2.0.50727_X64","C:\Windows\Microsoft.NET\Framework64\v2.0.50727\mscorsvw.exe","Stopped","Manual","False","Own Process","0"
"Microsoft .NET Framework NGEN v4.0.30319_X86","C:\Windows\Microsoft.NET\Framework\v4.0.30319\mscorsvw.exe","Stopped","Auto","False","Own Process","0"
"Microsoft .NET Framework NGEN v4.0.30319_X64","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscorsvw.exe","Stopped","Auto","False","Own Process","0"
"COM+ System Application","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}","Stopped","Manual","False","Own Process","0"
"Intel(R) Content Protection HECI Service","C:\Windows\SysWow64\IntelCpHeciSvc.exe","Stopped","Manual","False","Own Process","0"
"Cryptographic Services","C:\Windows\system32\svchost.exe -k NetworkService","Running","Auto","False","Share Process","1136"
"Offline Files","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Disabled","False","Share Process","0"
"DCOM Server Process Launcher","C:\Windows\system32\svchost.exe -k DcomLaunch","Running","Auto","False","Share Process","808"
"Disk Defragmenter","C:\Windows\system32\svchost.exe -k defragsvc","Stopped","Manual","False","Own Process","0"
"DHCP Client","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted","Running","Auto","False","Share Process","988"
"DNS Client","C:\Windows\system32\svchost.exe -k NetworkService","Running","Auto","False","Share Process","1136"
"Wired AutoConfig","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Manual","False","Share Process","0"
"Diagnostic Policy Service","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork","Running","Auto","False","Share Process","1472"
"DameWare Mini Remote Control","C:\Windows\dwrcs\dwrcs.exe -service","Running","Auto","False","Own Process","1728"
"Extensible Authentication Protocol","C:\Windows\System32\svchost.exe -k netsvcs","Running","Manual","False","Share Process","360"
"Encrypting File System (EFS)","C:\Windows\System32\lsass.exe","Running","Auto","False","Share Process","700"
"Windows Media Center Receiver Service","C:\Windows\ehome\ehRecvr.exe","Stopped","Manual","False","Own Process","0"
"Windows Media Center Scheduler Service","C:\Windows\ehome\ehsched.exe","Stopped","Manual","False","Own Process","0"
"Energy Star(TM) EZ GPO Power Management Configuration Tool","C:\Windows\system32\PMService.exe","Running","Auto","False","Own Process","1808"
"Windows Event Log","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","Running","Auto","False","Share Process","988"
"COM+ Event System","C:\Windows\system32\svchost.exe -k LocalService","Running","Auto","False","Share Process","352"
"Fax","C:\Windows\system32\fxssvc.exe","Stopped","Manual","False","Own Process","0"
"Function Discovery Provider Host","C:\Windows\system32\svchost.exe -k LocalService","Running","Manual","False","Share Process","352"
"Function Discovery Resource Publication","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation","Stopped","Manual","False","Share Process","0"
"Windows Font Cache Service","C:\Windows\system32\svchost.exe -k LocalService","Running","Auto","False","Share Process","352"
"Windows Presentation Foundation Font Cache 3.0.0.0","C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","Stopped","Manual","False","Own Process","0"
"Group Policy Client","C:\Windows\system32\svchost.exe -k GPSvcGroup","Running","Auto","False","Own Process","824"
"Google Update Service (gupdate)","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /svc","Stopped","Auto","False","Own Process","0"
"Google Update Service (gupdatem)","""C:\Program Files (x86)\Google\Update\GoogleUpdate.exe"" /medsvc","Stopped","Manual","False","Own Process","0"
"Human Interface Device Access","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","Running","Manual","False","Share Process","164"
"Health Key and Certificate Management","C:\Windows\System32\svchost.exe -k netsvcs","Stopped","Manual","False","Share Process","0"
"HomeGroup Listener","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted","Stopped","Manual","False","Share Process","0"
"HomeGroup Provider","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted","Stopped","Manual","False","Share Process","0"
